skill_name,prior,learns,guesses,slips
Addition and Subtraction Fractions,,,,
Addition and Subtraction Integers,,,,
Area Rectangle,,,,
Area Trapezoid,,,,
Area Triangle,,,,
Conversion of Fraction Decimals Percents,,,,
Equation Solving More Than Two Steps,,,,
Equation Solving Two or Fewer Steps,,,,
Multiplication and Division Integers,,,,
Ordering Fractions,,,,
Percent Of,,,,
Proportion,,,,
Venn Diagram,,,,
Volume Cylinder,,,,
Volume Rectangular Prism,,,,
Addition and Subtraction Fractions,0.9661372993368922,0.030786528086954187,0.5575877201314656,0.26072467376659053
Addition and Subtraction Integers,0.8100856535748163,0.005552888663043953,0.43041250715641155,0.1191337295235446
Area Rectangle,0.8837342482033992,5.971319427500404e-09,1.0357020877803393e-07,0.010733303599452432
Area Trapezoid,0.7404605596369112,0.1111206517854722,0.00793343567050225,0.16289064838346112
Area Triangle,0.8620032074966895,2.485412807624869e-05,0.012089126263688887,1.0028958666253431e-05
Conversion of Fraction Decimals Percents,0.5760872585010618,0.33276038524020835,0.29439211973401586,0.2390867879217276
Equation Solving More Than Two Steps,0.2756714762856071,0.9463392774563041,0.5368797581288713,0.06372969124251272
Equation Solving Two or Fewer Steps,0.3361436041902607,0.37869688633386445,0.554143185260841,0.0050221876239387635
Multiplication and Division Integers,0.986107010322027,0.455869526639525,0.8965683156534777,0.16870879479428985
Ordering Fractions,0.565231659435052,0.0072859677516767555,0.5635677200344619,0.0349367035066344
Percent Of,0.6841867217284365,0.29972259982107347,0.01807234547148476,0.3617456642335019
Proportion,0.672659782976197,0.2715979793976698,0.13189670362877168,0.18619254358465812
Venn Diagram,0.21292619320338468,0.40875344233789557,0.3041605475252356,0.08760114850407934
Volume Cylinder,0.4037212706512619,0.11485129962868128,0.04089709477105916,0.05687693506321774
Volume Rectangular Prism,0.8521861018373943,0.21059387194587853,0.03724714214583421,0.003775600173767161
